요일,제목,작가,장르,평점,연령등급,태그
MONDAY,모솔대첩,진자 / 정생,순정,9.81985,15세 이용가,"['로맨스', '러브코미디', '리얼로맨스', '설렘폭발', '공식미남', '헌신남', '짝사랑남', '능글남', '순정남', '연하남', '재벌녀', '얼빠녀', '명랑녀', '직진녀', '소심녀', '로맨틱코미디', '로맨스', '연애/결혼공감', '로맨스코미디', '계약연애', '친구>연인', '청춘로맨스', '공감성수치']"
MONDAY,공녀님의 꽃밭에는 그들이 산다,개굴 / 영락 / 고겨울,순정,9.89128,전체연령가,"['로맨스', '성장로판', '서양', '환생', '왕족/귀족', '가벼운', '성장물', '햇살캐', '러블리', '힐링', '육아물', '로판', '걸크러시', '소설원작']"
MONDAY,폐황후 마리아,하브린 / 과자 / 강희자매,드라마,9.70956,15세 이용가,"['드라마', '성장로판', '중세', '서양', '시대물', '결혼생활', '혐관', '왕족/귀족', '짝사랑남', '대형견남', '집착남', '나쁜남자', '판타지', '짐승남', '미친작화', '성장물', '집착물', '고자극로맨스', '혐관로맨스', '재회', '성장드라마', '걸크러시', '까칠남', '소설원작']"
MONDAY,프로젝트 마르스,영주,판타지,9.87116,15세 이용가,"['판타지', '2024 지상최대공모전', '액션판타지', '배틀', '소년물', '액션', '판타지', '힘숨찐', 'sf', '이능력배틀물', '인외존재', '먼치킨']"
MONDAY,기생몽,닺,스릴러,9.67024,15세 이용가,"['스릴러', '오컬트판타지', '현대', '오피스', '미스터리', '후회물', '오컬트', '서스펜스', '괴담']"
MONDAY,다육이는 잘 자란다,도국,드라마,9.96035,15세 이용가,"['드라마', '블랙코미디', '생존', '사회고발', '우정', '가족', '성장물', '하이퍼리얼리즘', '성장드라마']"
MONDAY,보스리턴,양세준,액션,9.87963,15세 이용가,"['액션', '학원액션', '성장물', '범죄', '고인물', '타임슬립', '회귀', '학원물', '복수극', '먼치킨', '느와르']"
MONDAY,타이탄,네온비 / 장구,드라마,9.77941,18세 이용가,"['드라마', '고자극드라마', '액션판타지', '이능력', '배틀', 'sf', '성인웹툰']"
MONDAY,제국 최고의 악녀를 사랑하게 되었습니다,"아지 / 아츠시, Perlacot",순정,9.96219,15세 이용가,"['로맨스', '순진남', '서양', '능력남', '공식미녀', '유혹녀', '짝사랑녀', '직진녀', '미친작화', '고자극로맨스', '로판']"
MONDAY,ZD,조석,스포츠,9.94342,12세 이용가,"['스포츠', '가족', '스포츠', '드라마', '개그', '축구', '성장드라마', '스포츠성장']"
MONDAY,라서드,감람,판타지,9.97219,15세 이용가,['판타지']
MONDAY,슬로우 다이브,고다,스포츠,9.84816,12세 이용가,"['스포츠', '청춘', '스포츠', '스포츠성장']"
MONDAY,좀비묵시록 82-08,"달아 / 경우,아쿠아콘 / 박스오피스",액션,9.80568,15세 이용가,"['액션', '자극적인', '시리어스', '절망적인', '현대', '스릴러', '아포칼립스', '밀리터리', '서스펜스', '감염', '소설원작']"
MONDAY,연애보다 결혼,카이루니사 / VBi / 체리고,순정,9.8327,15세 이용가,"['로맨스', '설렘폭발', '혐관', '능력남', '순진녀', '로맨틱코미디', '직진남', '선결혼후연애', '소설원작']"
MONDAY,청소하러 왔어요,뻥,감성,9.94344,전체연령가,['감성']
MONDAY,영앤리치가 아니야!,최삡뺩,개그,9.96414,전체연령가,"['개그', '할리퀸', '청춘', '짝사랑남', '능력남', '재벌남', '소심녀', '순진녀', '다정녀', '병맛', '재벌', '다정남', '하이틴', '학원로맨스', '학원물', '직진남', '청춘로맨스']"
MONDAY,닥터아미,김민소,액션,9.49141,15세 이용가,['액션']
MONDAY,황태자의 소꿉친구로 살아남기,LICO / 한빈 / 비첼,순정,9.90158,15세 이용가,"['로맨스', '설렘폭발', '서양', '소꿉친구', '로판', '소설원작']"
MONDAY,서브 남주가 파업하면 생기는 일,해민 / 창대 / 숙임,판타지,9.96019,전체연령가,"['판타지', '순진남', '감성적인', '서양', '마법', '우정', '왕족/귀족', '공식미남', '햇살녀', '햇살캐', '다정남', '힐링', '차원이동', '빙의', '로판', '까칠남', '소설원작']"
MONDAY,악녀교실,즛호,드라마,9.93153,15세 이용가,"['드라마', '사이다', '학원물', '복수극']"
MONDAY,나의 개는 스피커로 짖는다,로밋,드라마,9.7337,전체연령가,"['드라마', '감성적인', 'sf', '감성드라마']"
MONDAY,제국 제일의 상속녀가 되었습니다,한강 / 요정용,순정,9.9313,12세 이용가,"['로맨스', '사연녀', '햇살캐', '러블리', '다정남', '차원이동', '역하렘', '빙의', '로판', '소설원작']"
MONDAY,두 번째 삶은 힐링라이프?,당토,판타지,9.90747,12세 이용가,"['판타지', '사이다', '마법', '소년물', '환생', '아카데미물', '성장물', '소년왕도물']"
MONDAY,나의 보이소프렌드,망공이,드라마,9.96192,전체연령가,"['드라마', '예술', '우정', '라이벌', '청춘', '2022 최강자전', '성장물', '학원로맨스', '청춘로맨스', '친구>연인', '까칠남']"
MONDAY,솔로스쿨,랑쓰 / 승9,순정,9.92061,전체연령가,"['로맨스', '청춘', '무심남', '명랑녀', '짝사랑녀', '평범녀', '가벼운', '러블리', '다정남', '하이틴', '학원로맨스', '학원물', '청춘로맨스', '삼각관계', '까칠남']"
MONDAY,녹빛자정의 연인,백작,드라마,9.96972,15세 이용가,"['드라마', '자극적인', '서양', '시대물', '혐관', '왕족/귀족', '평범녀', '폭스남', '혐관로맨스', '삼각관계', '까칠남']"
MONDAY,사이다걸,김드루 / 김그루,드라마,9.85463,전체연령가,"['드라마', '2021 지상최대공모전']"
MONDAY,아직 제목 없음,주영현,드라마,9.94185,전체연령가,"['드라마', '공감', '우정', '청춘', '감성', '동아리', '힐링', '하이틴', '학원로맨스', '학원물', '청춘로맨스', '성장드라마', '감성드라마']"
MONDAY,내가 왜 킬러?!,규잉,개그,9.94633,15세 이용가,"['개그', '열혈병맛개그', '액션', '병맛', '성장물', '4차원', '힘숨찐', '느와르']"
MONDAY,게임마스터,둥치 / Akaogi Seki,판타지,9.54416,전체연령가,"['판타지', '게임판타지', '이세계', '다크판타지', '소설원작']"
MONDAY,악당과 악당이 만나면,삵 / 쏘가리 / 임하얌,순정,9.95715,12세 이용가,"['로맨스', '악역이주인공', '집착남', '악녀', '사연녀', '다정남', '폭스남', '집착물', '계략녀', '혐관로맨스', '계약연애', '직진남', '로판', '걸크러시', '소설원작']"
MONDAY,러브 로스팅,이순기 / 이예린,순정,9.90611,15세 이용가,"['로맨스', '현대판타지', '리얼로맨스', '캠퍼스로맨스']"
MONDAY,피폐물의 해피엔딩을 위하여,호,순정,9.95117,전체연령가,"['로맨스', '빙의', '로판', '구원서사']"
MONDAY,날 먹는 건 금지양!,조9,순정,9.96828,전체연령가,"['로맨스', '청춘', '공식미남', '명랑녀', '러블리', '힐링', '학원로맨스', '청춘로맨스', '친구>연인', '인외존재', '까칠남']"
MONDAY,어쌔신 크리드 - 잊혀진 사원,"YEON, ARC, Ubisoft / Tabii",판타지,9.87997,15세 이용가,"['판타지', '레드아이스 스튜디오', '서양', '게임', '액션', '차원이동', '게임판타지']"
MONDAY,컨트롤X,사이렌 / 서클,순정,9.52958,12세 이용가,"['로맨스', '연예계로맨스', '공식미녀', '능력녀', '2022 지상최대공모전', '전남친', '연예계', '걸크러시']"
MONDAY,호러맨스,-2℃,순정,9.93074,전체연령가,"['로맨스', '2024 연재직행열차', '햇살남', '무심남', '순정남', '소심녀', '로맨스', '성장물', '무해한', '동아리', '다정남', '폭스남', '오컬트', '학원로맨스', '학원물', '청춘로맨스', '삼각관계']"
MONDAY,찔레꽃 그늘 아래,해람 / 홍이,순정,9.90314,15세 이용가,"['로맨스', '동양풍로맨스', '동양', '시대물', '혐관', '능글남', '집착남', '공식미녀', '사연녀', '2022 지상최대공모전', '집착물', '후회물', '혐관로맨스', '재회', '복수극']"
MONDAY,숭늉버블티,솔리,순정,9.88416,전체연령가,"['로맨스', '리얼로맨스', '감성적인', '캠퍼스', '현대', '캠퍼스로맨스']"
MONDAY,여우별잡이,"열림, 녹원 / 은일초",판타지,9.82775,15세 이용가,"['판타지', '동양', '무협/사극', '동양풍판타지', '구원서사']"
MONDAY,연애복붙,석한,순정,9.86613,15세 이용가,"['로맨스', '러브코미디', '공식미남', '능력남', '얼빠녀', '미스터리', '4차원', 'sf', '친구>연인', '삼각관계']"
