요일,제목,작가,장르,평점,연령등급,태그
FRIDAY,보이스피싱인데 인생역전,왓더헬 / 장탄,드라마,9.7969,15세 이용가,"['드라마', '인생역전', '참교육', '하이퍼리얼리즘', '연예계', '성장드라마', '복수극', '두뇌싸움', '소설원작']"
FRIDAY,암살청과,나락 / 군다,개그,9.80891,12세 이용가,"['개그', '블랙코미디', '현대', '액션', '병맛', '성장물', '범죄', '4차원', '느와르']"
FRIDAY,센스제로,구리,순정,9.95428,15세 이용가,"['로맨스', '순진녀', '로맨틱코미디', '가벼운', '햇살캐', '짝사랑', '4차원', '친구>연인', '삼각관계', '공감성수치']"
FRIDAY,흑요석의 신부,왕보라청푸름 / 팀 쿼츠,순정,9.87179,15세 이용가,"['로맨스', '순진녀', '능력녀', '로맨틱코미디', '미스터리', '사연녀', '요즘핫한추천작', '서바이벌', '로판']"
FRIDAY,그렇게 물거품이 되어도,다홍,판타지,9.97917,전체연령가,"['판타지', '모험', '크리처', '성장물', '무해한', '힐링', '아포칼립스', 'sf', '인외존재', '구원서사', '감성드라마']"
FRIDAY,만두 생활기록부,킹만두,일상,9.89881,전체연령가,"['일상', '2024 연재직행열차', '일상개그힐링', '일상', '가벼운', '개그', '4차원', '하이퍼리얼리즘', '공감성수치']"
FRIDAY,뼈왕,유성연,판타지,9.96302,12세 이용가,"['판타지', '판타지개그', '중세', '서양', '이능력', '모험', '병맛', '가벼운', '개그', '차원이동', '4차원', '이세계']"
FRIDAY,조선왕비 간택사건,강다혜 / 월우,순정,9.8733,12세 이용가,"['로맨스', '동양풍로맨스', '시대물', '능글남', '능력녀', '무협/사극', '소설원작']"
FRIDAY,명품시대,곽경택 / 이현세,드라마,9.84745,15세 이용가,"['드라마', '레드아이스 스튜디오', '고자극드라마', '자극적인', '피카레스크', '범죄', '느와르']"
FRIDAY,세자와 세자빈의 계약혼인전,산삼,드라마,9.96585,전체연령가,"['드라마', '동양풍로맨스', '동양', '결혼생활', '왕족/귀족', '사연남', '명랑녀', '가벼운', '사연녀', '개그', '궁중로맨스', '4차원', '계약연애', '걸크러시']"
FRIDAY,소곤소곤2,옛사람,드라마,9.96236,15세 이용가,"['드라마', '감성적인', '시리어스', '옴니버스', '스릴러', '오컬트', '괴담', '감성드라마']"
FRIDAY,예쁘세요,묘이 / 초하루,순정,9.77508,15세 이용가,"['로맨스', '설렘폭발', '햇살남', '공식미녀', '판타지', '아이돌', '러블리', '인플루언서', '빙의']"
FRIDAY,"꿇어보세요, 대공님!",가천가 / 콩삼 / 재겸,순정,9.89187,전체연령가,"['로맨스', '사이다', '명랑녀', '로맨틱코미디', '혐관로맨스', '선결혼후연애', '까칠남', '소설원작']"
FRIDAY,못난이 콤플렉스,권자몽 / 사요새 / 은WOO,순정,9.79235,12세 이용가,"['로맨스', '평범녀', '인소감성', '학원로맨스', '직진남', '소설원작']"
FRIDAY,야수라는 공작에게 시집왔는데,나양 / 김승혁 / 박약초,순정,9.93551,12세 이용가,"['로맨스', '설렘폭발', '서양', '결혼생활', '왕족/귀족', '순정남', '햇살녀', '소심녀', '순진녀', '다정녀', '로맨틱코미디', '가벼운', '햇살캐', '러블리', '다정남', '선결혼후연애', '로판', '소설원작']"
FRIDAY,천재의 신들린 게임방송,LICO / OPST / 믿고보는,판타지,9.87025,15세 이용가,"['판타지', '현대', '게임', '상태창', '크리처', '액션', '성장물', '고인물', '게임판타지', '인외존재', '인플루언서', '먼치킨', '소설원작']"
FRIDAY,아라드의 빛: 먼저 걷는 자,제갈복자 / 펑키크리처 / 이수백,판타지,9.84133,15세 이용가,"['판타지', '레드아이스 스튜디오', '사이다', '미친작화', '던전물', '고인물', '차원이동', '게임판타지', '빙의', '소설원작']"
FRIDAY,옹달샘 프로젝트,요다,개그,9.9426,전체연령가,"['개그', '일상개그힐링', '판타지개그', '감성적인', '우정', '가족', '라이벌', '개그', '무해한', '햇살캐', '힐링', '동물']"
FRIDAY,절세미남 망나니 해골 되다,이루다 / 김선용,판타지,9.90251,12세 이용가,"['판타지', '병맛', '개그', '환골탈태']"
FRIDAY,달이 없는 나라,엥비,순정,9.97229,전체연령가,"['로맨스', '궁중로맨스', '2020 지상최대공모전', '퓨전사극', '성장드라마']"
FRIDAY,범상한 변호사의 아공간,혜낙 / 김리아 / 서칸더브이,판타지,9.37415,전체연령가,"['판타지', '사이다', '법정드라마', '직업드라마', '소설원작']"
FRIDAY,미드우트,원김,판타지,9.95365,15세 이용가,"['판타지', '액션판타지', '과거', '동양', '이능력', '마법', '크리처', '회귀', '헌터물', '복수극']"
FRIDAY,소년경찰,삼갱 / 지앤,액션,9.67154,15세 이용가,"['액션', '사이다', '학원액션', '액션']"
FRIDAY,염마라사,정국선,무협,9.77667,15세 이용가,"['무협/사극', '오컬트판타지', '액션판타지', '동양풍판타지']"
FRIDAY,훈녀생정,이체리,순정,9.79009,12세 이용가,"['로맨스', '로맨스', '인소감성', '로맨스코미디', '학원로맨스', '빙의', '레트로']"
FRIDAY,퇴출행성 세레나데,명명이,순정,9.90932,12세 이용가,"['로맨스', '2024 지상최대공모전', '연예계로맨스', '감성적인', '치명적인', '우정', '라이벌', '첫사랑', '혐관', '청춘', '공식미남', '헌신남', '짝사랑남', '사연남', '능력남', '재벌남', '순정남', '계략남', '집착남', '후회남', '나쁜남자', '평범녀', '순진녀', '로맨스', '사연녀', '아이돌', '후회물', '짝사랑', '아이돌연애', '혐관로맨스', '하이틴', '직진남', '재회', '연예계']"
FRIDAY,괴물 의상실,스페트,드라마,9.97022,전체연령가,"['드라마', '크리처', '판타지', '2022 최강자전', '성장물', '무해한', '최강자전', '힐링', '직업드라마', '이세계', '인외존재', '성장드라마', '감성드라마']"
FRIDAY,3분의 1이 없어도,당과,순정,9.89333,12세 이용가,"['로맨스', '리얼로맨스', '결혼생활', '우정', '명랑녀', '러블리', '다정남', '친구>연인', '선결혼후연애']"
FRIDAY,콜미로맨틱,최용성,스릴러,9.93024,15세 이용가,"['스릴러', '고자극스릴러', '집착남', '미스터리', '범죄', '집착물', '삼각관계', '서스펜스', '빙의', '걸크러시']"
FRIDAY,회귀자는 나만 지킨다,최원준 / 주진홍 / 미도,판타지,9.60938,15세 이용가,"['판타지', '데스게임', '아포칼립스', '회귀', '히어로', '소설원작']"
FRIDAY,백년게임,하람 / 지야,판타지,9.8275,12세 이용가,"['판타지', '미래', '신화', '게임', '배틀', '성장물', '서바이벌', '세계관', '게임판타지', '이능력배틀물', '소년왕도물']"
FRIDAY,들개,김판교,드라마,9.09992,15세 이용가,"['드라마', '절망적인', '사회고발', '가족', '드라마', '스릴러', '범죄', '학원물', '서스펜스', '감성드라마']"
FRIDAY,신이 내린 탑스타,권영준 / 쿠하 / 동전파스,드라마,9.94731,15세 이용가,"['드라마', '오컬트판타지', '동양', '인생역전', '성장물', '고인물', '후회물', '직업드라마', '오컬트', '동양풍판타지', '연예계', '소설원작']"
FRIDAY,별의 눈동자,백원달,드라마,9.76709,15세 이용가,"['드라마', '현대판타지', '감성적인', '눈물샘자극', '미래', '로맨스', '드라마', 'sf', '인외존재', '감성드라마']"
FRIDAY,존 웹스터 도난 사건,김본부 / 한톨,드라마,9.10931,전체연령가,"['드라마', '우정', '가족', '음악', '학원물', '성장드라마', '감성드라마']"
THURSDAY,나노마신,현절무 / 금강불괴 / 한중월야,무협,9.85094,15세 이용가,"['무협/사극', '레드아이스 스튜디오', '사이다', '게임', '상태창', '참교육', 'sf', '판무', '이능력배틀물', '먼치킨', '소설원작']"
THURSDAY,마흔 즈음에,서쿤스,드라마,9.88718,15세 이용가,"['드라마', '2024 연재직행열차', '고자극드라마', '리얼로맨스', '공감', '평범남', '연애/결혼공감', '개그', '하이퍼리얼리즘']"
THURSDAY,육아일기,자까,일상,9.95993,전체연령가,"['일상', '공감', '결혼생활', '연애/결혼공감', '가벼운', '힐링', '친구>연인']"
THURSDAY,재벌집 막내아들,JP / 김병관 / 산경(山景),드라마,9.96623,12세 이용가,"['드라마', '고자극드라마', '오피스', '정치', '재벌', '타임슬립', '드라마&영화 원작웹툰', '회귀', '복수극', '빙의', '두뇌싸움', '소설원작']"
THURSDAY,"송이연 50살, 이혼 한 달 차",인유유,드라마,9.77081,15세 이용가,"['드라마', '2024 연재직행열차', '자극적인', '중년', '감성', '연애/결혼공감', '감성드라마']"
THURSDAY,무사만리행,운 / 배민기,무협,9.93509,15세 이용가,"['무협/사극', '성장물', '퓨전사극', '판무', '먼치킨']"
THURSDAY,할배무사와 지존 손녀,신의철 / 김명현 / 일향(一向),무협,9.96858,전체연령가,"['무협/사극', '정통무협', '모험', '가족', '액션', '성장물', '고인물', '육아물', '먼치킨', '소설원작']"
THURSDAY,"풍작이에요, 마왕님!",이현민 / 여강현 / 문백경,판타지,9.97402,전체연령가,"['판타지', '농사', '판타지개그', '세계관', '게임판타지', '이세계', '소설원작']"
THURSDAY,게임 속 바바리안으로 살아남기,팀 더 지크 / MIDNIGHT STUDIO / 정윤강,판타지,9.96377,15세 이용가,"['판타지', '게임', '생존', '액션', '판타지', '지금추천작', '서바이벌', '차원이동', '게임판타지', '인외존재', '빙의', '소설원작']"
THURSDAY,구세라,승 / 한기쁨,액션,9.79452,15세 이용가,"['액션', '학원액션', '개그', '짝사랑', '걸크러시']"
THURSDAY,작두,232 / POGO,판타지,9.92982,15세 이용가,"['판타지', '동양', '신화', '이능력', '액션', '미친작화', '성장물', '세계관', '판무', '인외존재', '소년왕도물']"
THURSDAY,마도귀환록,사월 / MISANG / 한유림,무협,9.85502,15세 이용가,"['무협/사극', '소설원작']"
THURSDAY,정글쥬스,형은 / 쥬더,액션,9.94051,15세 이용가,"['액션', '현대판타지', '열혈', '캠퍼스', '현대', '이능력', '배틀', '슈퍼스트링', '이능력배틀물', '인외존재', '인플루언서', '동물', '먼치킨', '감염']"
THURSDAY,현실퀘스트,이주운 / 태성,액션,9.83116,15세 이용가,"['액션', '게임판타지', '회귀', '학원물']"
THURSDAY,나 혼자 네크로맨서,김경열 / 김동준 / 지점장,판타지,9.94386,12세 이용가,"['판타지', '현대', '상태창', '크리처', '아포칼립스', '이능력배틀물', '먼치킨', '소설원작']"
THURSDAY,내향남녀,나,순정,9.96979,전체연령가,"['로맨스', '설렘폭발', '우정', '청춘', '소심남', '소심녀', '힐링', '학원로맨스', '청춘로맨스', '구원서사']"
THURSDAY,버려진 나의 최애를 위하여,류호 / 기묭 / 김선유,순정,9.97115,15세 이용가,"['로맨스', '사이다', '서양', '결혼생활', '왕족/귀족', '사연남', '직진녀', '능력녀', '회귀', '선결혼후연애', '복수극', '빙의', '로판', '소설원작']"
THURSDAY,회귀한 천재 헌터의 슬기로운 청소생활,고일고일 / 달비트,판타지,9.85419,전체연령가,"['판타지', '사이다', '현대판타지', '현대', '액션', '참교육', '회귀', '헌터물', '두뇌싸움', '먼치킨', '소설원작']"
THURSDAY,지는 쪽이 영부인,최유진 / 강지영,순정,9.83269,12세 이용가,"['로맨스', '현대', '결혼생활', '정치', '라이벌', '직업드라마']"
THURSDAY,쓰레기의 법칙,서연,순정,9.84591,15세 이용가,"['로맨스', '설렘폭발', '캠퍼스', '능글남', '소심녀', '순진녀', '로맨스', '러블리', '폭스남', '전남친', '청춘로맨스', '캠퍼스로맨스', '삼각관계']"
THURSDAY,당신의 살인을 위하여,세윤 / 징크,드라마,9.92315,18세 이용가,"['드라마', '고자극드라마', '자극적인', '절망적인', '치명적인', '악역이주인공', '스릴러', '성인웹툰']"
THURSDAY,종말에서 살아남기,송,판타지,9.86886,15세 이용가,"['판타지', '시리어스', '생존', '크리처', '액션', '스릴러', '서바이벌', '2021 지상최대공모전', '아포칼립스', '인외존재', '서스펜스']"
THURSDAY,가족같은 XX,서우현,순정,9.9381,15세 이용가,"['로맨스', '연예계로맨스', '햇살남', '능력남', '유혹남', '순정남', '공식미녀', '직진녀', '능력녀', '햇살캐', '2020 지상최대공모전', '계약연애', '연예계', '삼각관계']"
THURSDAY,시한부 천재 암흑기사,판테라 / 나기 / 정선율,판타지,9.80976,전체연령가,"['판타지', '게임', '상태창', '마법', '악역이주인공', '아카데미물', '지금추천작', '게임판타지', '빙의', '먼치킨', '소설원작']"
THURSDAY,오늘의 한요일은 여자다,송극장,드라마,9.88889,15세 이용가,"['드라마', '하렘', '러브코미디', '설렘폭발', '요즘핫한추천작', '아이돌', '환골탈태', '하이틴', '성장드라마']"
THURSDAY,삼이는 재생한다,강은영,순정,9.97834,12세 이용가,"['로맨스', '청춘', '무심남', '명랑녀', '무심녀', '가벼운', '사연녀', '러블리', '재벌', '폭스남', '힐링', '학원로맨스', '학원물', '직진남', '청춘로맨스', '삼각관계', '성장드라마']"
THURSDAY,국세청 망나니,스튜디오 웨이브 / 동면거북이,드라마,9.93716,전체연령가,"['드라마', '사이다', '현대판타지', '현대', '사회고발', '이능력', '정치', '참교육', '직업드라마', '복수극', '소설원작']"
THURSDAY,사시미 한 자루로 아카데미를 씹어먹음,GMAN / 탕아후루,판타지,9.93486,15세 이용가,"['판타지', '게임', '상태창', '이능력', '소년물', '아카데미물', '성장물', '세계관', '게임판타지', '헌터물', '인외존재', '빙의', '먼치킨', '소설원작']"
THURSDAY,쿠베라,카레곰,판타지,9.96436,전체연령가,"['판타지', '절망적인', '신화', '마법', '크리처', '로맨스', '판타지', '세계관', '인외존재', '복수극', '다크판타지']"
THURSDAY,검은 머리 영국 의사,이유수 / 오첸 / 한산이가,드라마,9.94743,15세 이용가,"['드라마', '중세', '과거', '서양', '시대물', '우정', '환생', '햇살남', '드라마', '미친작화', '역사물', '타임슬립', '직업드라마', '의학드라마', '소설원작']"
THURSDAY,복학생,각설이,액션,9.83589,15세 이용가,"['액션', '학원액션', '복수극', '느와르']"
THURSDAY,괴물들의 장의사,타쿵이,판타지,9.88209,15세 이용가,"['판타지', '감성적인', '생존', '판타지', '아포칼립스']"
THURSDAY,백투더찬비,장사휘,순정,9.44072,전체연령가,"['로맨스', '청춘', '순정남', '명랑녀', '로맨틱코미디', '가벼운', '러블리', '짝사랑', '하이틴', '학원로맨스', '학원물', '청춘로맨스']"
THURSDAY,김오진과 이상한 동물들,기선 / 필살린,판타지,9.95971,전체연령가,"['판타지', '개그', '힐링', '이세계', '동물']"
THURSDAY,최강전설 강해효,최병열,액션,9.56095,15세 이용가,"['액션', '학원액션', '소년물', '참교육', '성장물', '격투기', '학원물', '복수극', '먼치킨']"
THURSDAY,껍데기,도노,스릴러,9.7094,15세 이용가,"['스릴러', '고자극스릴러', '절망적인', '현대', '스릴러', '학원물']"
THURSDAY,저승사자:제령무사,웨방상,무협,9.90819,15세 이용가,"['무협/사극', '오컬트판타지', '액션', '2023 지상최대공모전', '성장물', '세계관', '오컬트', '동양풍판타지', '복수극']"
THURSDAY,천사개와 악마캣,잇선,일상,9.89675,12세 이용가,"['일상', '일상개그힐링', '공감', '우정', '청춘', '평범녀', '개그', '무해한', '힐링', '성장드라마', '동물']"
THURSDAY,천마님 안마하신다,이석준 / 소소 / 레빗토끼,판타지,9.92994,12세 이용가,"['판타지', '감성적인', '동양', '가벼운', '개그', '성장물', '힐링', '직업드라마', '성장드라마', '빙의', '소설원작']"
THURSDAY,오빠세끼,올리브유,일상,9.87138,전체연령가,"['일상', '하이틴', '학원로맨스', '삼각관계']"
THURSDAY,이게 웬 떡,박쓰담,순정,9.91245,전체연령가,['로맨스']
THURSDAY,일립예고 학생들,백본,드라마,9.97198,전체연령가,"['드라마', '감성적인', '우정', '공식미녀', '미친작화', '2022 지상최대공모전', '학원물', '성장드라마', '감성드라마']"
THURSDAY,규격 외 혈통 천재,초멍 / 피콕 / 소울풍,판타지,9.61649,12세 이용가,"['판타지', '사이다', '현대판타지', '현대', '오피스', '이능력', '크리처', '액션', '가벼운', '개그', '성장물', '세계관', '이세계', '인외존재', '먼치킨', '소설원작']"
THURSDAY,룸비니,"박만사, 약수 / 약수",스릴러,9.73981,15세 이용가,"['스릴러', '사이다', '고자극스릴러', '자극적인', '시리어스', '동양', '요즘핫한추천작', '지금추천작', '오컬트', '서스펜스', '사이비종교', '먼치킨']"
THURSDAY,게임 최강 트롤러,박종석 / YATO / 군만두먹자,판타지,9.90909,15세 이용가,"['판타지', '서양', '게임', '상태창', '악역이주인공', '크리처', '성장물', '게임판타지', '인외존재', '먼치킨', '소설원작']"
THURSDAY,불효자,정찬,액션,9.86044,15세 이용가,"['액션', '시리어스', '정치', '가족', '재벌', '복수극', '느와르']"
THURSDAY,배드 본 블러드,호박새 / D-Park / 백수귀족,판타지,9.95302,15세 이용가,"['판타지', '레드아이스 스튜디오', 'SF액션', '배틀', '소년물', '전쟁', '액션', '미친작화', '지금추천작', '성장물', '세계관', 'sf', '서스펜스', '구원서사', '소설원작']"
THURSDAY,관계중독,오얏,스릴러,9.28168,15세 이용가,"['스릴러', '고자극스릴러', '자극적인', '시리어스', '집착남', '나쁜남자', '미스터리', '집착물', '학원물', '서스펜스']"
THURSDAY,후회조차 사치인 당신들에게,LICO / 요정용,순정,9.95595,15세 이용가,"['로맨스', '서양', '결혼생활', '나쁜남자', '드라마', '사연녀', '타임슬립', '고자극로맨스', '선결혼후연애', '복수극', '로판', '소설원작']"
THURSDAY,정의구현,"이시현, MAJOR / 이시현",액션,9.78653,15세 이용가,['액션']
THURSDAY,마왕까지 한 걸음,윤홍,판타지,9.96871,15세 이용가,"['판타지', '중세판타지액션', '서양', '크리처', '액션', '가벼운', '개그', '성장물', '세계관', '힘숨찐', '걸크러시']"
THURSDAY,검은 늑대가 나를 부르면,해민 / 낑깡 / 임혜,순정,9.94828,15세 이용가,"['로맨스', '동양풍로맨스', '동양', '능글남', '집착남', '나쁜남자', '다정남', '차원이동', '동양풍판타지', '회귀', '소설원작']"
THURSDAY,경계선,파트 / 꿀봉이 / 피숙혜,순정,9.8724,15세 이용가,"['로맨스', '러브코미디', '리얼로맨스', '설렘폭발', '현대', '가족', '첫사랑', '청춘', '짝사랑남', '무심남', '재벌남', '나쁜남자', '연하남', '명랑녀', '연상녀', '로맨틱코미디', '인소감성', '소설원작']"
THURSDAY,보스였음,"박만사, 럭스 / 럭스",액션,9.91489,15세 이용가,"['액션', '현대판타지', '현대', '악역이주인공', '빌런', '힘숨찐', '헌터물', '이능력배틀물', '인외존재', '다크히어로']"
THURSDAY,종이호랑이,"몹시찰진우럭 / 몹시찰진우럭,영목",액션,9.95693,15세 이용가,"['액션', '액션', '무협/사극']"
THURSDAY,모두가 그녀를 사랑해,스리라챠 / 지민,스릴러,9.88232,15세 이용가,"['스릴러', '마법', '액션', '스릴러', '요즘핫한추천작', '먼치킨']"
THURSDAY,신의 요리,차정평 / 레블스튜디오,판타지,9.65592,15세 이용가,"['판타지', '열혈', '배틀', '우정', '요즘핫한추천작', '성장물', '음식&요리', '먼치킨']"
THURSDAY,첫눈에 반한 건 아니지만,아임,순정,9.88941,15세 이용가,"['로맨스', '리얼로맨스', '미스터리', '재벌', '서스펜스', '까칠남']"
THURSDAY,골레이로,이난 / 채키,스포츠,9.87209,12세 이용가,"['스포츠', '열혈', '소년물', '우정', '청춘', '성장물', '축구', '학원물', '스포츠성장']"
THURSDAY,풀 보이,커북이,스포츠,9.85527,12세 이용가,"['스포츠', '2024 연재직행열차', '감성적인', '청춘', '짝사랑남', '감성', '스포츠', '무해한', '학원물', '스포츠성장']"
THURSDAY,공작가의 남장 하인이 되었다,HBR / 갸우 / 메이비Y,순정,9.9399,전체연령가,"['로맨스', '왕족/귀족', '명랑녀', '성장물', '러블리', '빙의', '로판', '소설원작']"
THURSDAY,수트빨,김꿀빨 / 이세형,액션,9.17478,15세 이용가,"['액션', '액션판타지', '현대', '배틀', '소년물']"
THURSDAY,24시간 미남,모미,순정,9.92708,전체연령가,"['로맨스', '캠퍼스', '청춘', '로맨틱코미디', '로맨스', '러블리', '동아리', '환골탈태', '최강자전', '청춘로맨스', '친구>연인', '캠퍼스로맨스']"
THURSDAY,웨폰 크리에이터,조재은 / 보램,판타지,9.74413,12세 이용가,"['판타지', '요즘핫한추천작', '게임판타지']"
THURSDAY,새까만 순정일지,용현 / 태양신,순정,9.94457,15세 이용가,"['로맨스', '로맨스', '로맨스코미디', '캠퍼스로맨스', '역하렘']"
THURSDAY,노키즈존,멤메머신 / 오른손,판타지,9.93654,전체연령가,"['판타지', '생존', '이능력', '아포칼립스']"
THURSDAY,사랑하는 여름 하늘,소장,순정,9.92887,전체연령가,"['로맨스', '현대', '우정', '혐관', '청춘', '성장물', '다정남', '혐관로맨스', '하이틴', '학원로맨스', '학원물', '청춘로맨스', '감성드라마']"
THURSDAY,쌍둥이 영애가 남장을 하는 이유,Amamiya Ley. / MONA,판타지,9.86266,12세 이용가,"['판타지', '서양', '왕족/귀족', '짝사랑남', '계략남', '집착남', '나쁜남자', '인소감성', '해외작품', '다정남', '학원로맨스', '직진남', '역하렘', '로판', '걸크러시']"
THURSDAY,검은 인어,또각,드라마,9.93225,15세 이용가,"['드라마', '감성적인', '우정', '사연녀', '성장물', '학원물', '인외존재', '복수극', '구원서사', '감성드라마']"
THURSDAY,특급 계약 결혼의 말로,구당 / 꾸왕 / 션킴,순정,9.91477,전체연령가,"['로맨스', '서양', '마법', '왕족/귀족', '공식미남', '명랑녀', '능력녀', '개그', '로맨스코미디', '혐관로맨스', '선결혼후연애', '로판', '까칠남', '소설원작']"
THURSDAY,전생혈마,장작가 / 산천,판타지,9.46821,전체연령가,"['판타지', '액션판타지', '환생', '액션', '판타지', '성장물', '헌터물', '성장드라마', '소설원작']"
THURSDAY,마리오네타,미리암 보나스트레,판타지,9.97528,15세 이용가,"['판타지', '감성적인', '서양', '소년물', '모험', '혐관', '명랑녀', '미스터리', '성장물', '해외작품', '세계관', '혐관로맨스', '인외존재', '성장드라마', '감성드라마']"
THURSDAY,"전설의 헌터, 회춘하다",백영민 / BBing,판타지,8.9098,15세 이용가,"['판타지', '현대판타지', '현대', '액션', '고인물', '타임슬립', '회귀', '힘숨찐', '헌터물', '인외존재', '먼치킨', '소설원작']"
THURSDAY,티라노 노경수,힙합신선,드라마,9.94117,전체연령가,"['드라마', '일상개그힐링', '현대', '가족', '감성', '일상', '무해한', '러블리', '감성드라마']"
THURSDAY,흑역사가 역주행한다,이에프 / 쇼메,순정,9.94201,12세 이용가,"['로맨스', '로맨스', '인소감성', '인생역전', '다정남', '로맨스코미디', '회귀', '하이틴', '학원로맨스', '청춘로맨스', '친구>연인', '역하렘', '소설원작']"
THURSDAY,완벽한 예나,이겨울,순정,9.91,전체연령가,"['로맨스', '게임', '혐관', '무심남', '능력녀', '인소감성', '가벼운', '개그', '무해한', '러블리', '힐링', '하이틴', '학원로맨스', '학원물', '걸크러시', '까칠남']"
THURSDAY,내가 키운 미친개에게 감금당했다,한가가 / 최화인 / 은가빛,순정,9.8877,15세 이용가,"['로맨스', '자극적인', '치명적인', '집착남', '미친작화', '집착물', '고자극로맨스', '빙의', '로판', '소설원작']"
THURSDAY,수사9단0,김선권,스릴러,9.80718,15세 이용가,"['스릴러', '미스터리', '스릴러', '개그', '프리퀄', '직업드라마', '성장드라마']"
THURSDAY,만물의 영장,보민,개그,9.92773,전체연령가,"['개그', '판타지개그', '액션', '병맛', '4차원', '이능력배틀물', '인외존재', '소년왕도물', '동물', '먼치킨']"
THURSDAY,히든클래스 중력자로 최강을 노린다,네코코 / 치쿠와,판타지,8.77079,12세 이용가,"['판타지', '현대판타지', '현대', '소년물', '성장물', '해외작품', '고인물', '회귀', '헌터물', '인외존재', '먼치킨']"
THURSDAY,추억이 찾아오는 가게,꼬모소이,감성,9.97499,전체연령가,"['감성', '감성적인', '눈물샘자극', '공감', '무해한', '러블리', '힐링', '동물', '감성드라마']"
THURSDAY,어느 날 갑자기 최애가 생겼다,맛스타,순정,9.86933,12세 이용가,"['로맨스', '연예계로맨스', '로맨스', '아이돌', '아이돌연애', '연예계']"
THURSDAY,짐승같은 것들,김태희,순정,9.94609,15세 이용가,"['로맨스', '혐관', '유혹남', '로맨스', '고자극로맨스', '세계관', '혐관로맨스', '직진남']"
THURSDAY,미로 인 메모리,유이수,판타지,9.94184,12세 이용가,"['판타지', '현대판타지', '액션판타지', '판타지', '2023 지상최대공모전', '성장물']"
THURSDAY,보이는 사랑,소어링 / 낫쪼 / 강형민,순정,9.30806,12세 이용가,"['로맨스', '리얼로맨스', '혐관', '공식미남', '사연남', '나쁜남자', '직진녀', '로맨틱코미디', '사연녀', '혐관로맨스', '성장드라마', '까칠남', '소설원작']"
THURSDAY,2차전직 스킵용사,김장훈 / 박수봉,판타지,9.57722,15세 이용가,"['판타지', '사이다', '게임', '상태창', '크리처', '병맛', '가벼운', '게임판타지', '인외존재', '빙의', '먼치킨']"
THURSDAY,진짜가 나타난 날,은그루 / 유사빙 / 과앤,순정,9.89203,전체연령가,"['로맨스', '감성적인', '가족', '무심남', '후회남', '순진녀', '사연녀', '지금추천작', '로판', '소설원작']"
THURSDAY,랭커랑 연애가능,CHYA,순정,9.85129,12세 이용가,"['로맨스', '설렘폭발', '공감', '게임', '짝사랑남', '능글남', '능력녀', '가벼운', '폭스남', '게임판타지', '학원로맨스', '학원물', '친구>연인', '삼각관계']"
THURSDAY,카루나,강호진,판타지,9.82684,12세 이용가,"['판타지', '액션판타지', '신화', '배틀', '마법', '소년물', '모험', '성장물', '인외존재', '소년왕도물']"
THURSDAY,책상 낙서 티티,한짜장,드라마,9.88776,15세 이용가,"['드라마', '미스터리', '성장물', '4차원', '학원물', '인외존재', '성장드라마', '복수극']"
THURSDAY,크립티드,247,액션,9.74961,15세 이용가,"['액션', '현대판타지', '액션아포칼립스', 'SF액션', '액션판타지', '학원액션', '판타지개그', '현대', '생존', '데스게임', '소년물', '크리처', '액션', '판타지', '미친작화', '아포칼립스', 'sf', '힘숨찐', '학원물', '소년왕도물', '먼치킨']"
THURSDAY,지구대장님의 학교생활,기태온,액션,9.66053,15세 이용가,"['액션', '사이다', '액션판타지', '학원액션', '판타지', '이세계']"
THURSDAY,누가 어른 되면 다 된댔어?,정오,드라마,9.84832,12세 이용가,"['드라마', '예술', '리얼로맨스', '감성적인', '현대', '오피스', '청춘', '평범남', '명랑녀', '성장물', '다정남', '하이퍼리얼리즘', '성장드라마', '사내연애']"
THURSDAY,메리지 블루스,이순기 / 오정호,순정,9.86998,15세 이용가,"['로맨스', '러브코미디', '과거', '로맨틱코미디', '로맨스', '타임슬립']"
THURSDAY,유월의 소한,윤정민,순정,9.24533,전체연령가,"['로맨스', '동양풍로맨스', '과거', '동양', '정치', '왕족/귀족', '사연남', '순정남', '사연녀', '성장물', '계략녀', '퓨전사극', '재회', '복수극']"
THURSDAY,내가 싫어하는 남자친구,하늘,드라마,9.80083,전체연령가,"['드라마', '로맨스', '드라마', '성장물', '2022 지상최대공모전', '소꿉친구', '로맨스코미디', '학원로맨스', '학원물', '청춘로맨스', '성장드라마']"
THURSDAY,운명해주세요,노뱀,순정,9.87661,15세 이용가,"['로맨스', '계략남', '명랑녀', '2022 최강자전', '혐관로맨스']"
THURSDAY,어째서 모두가 나를 사랑하는 거야?!,김서린,드라마,9.74656,전체연령가,"['드라마', '상태창', '햇살녀', '드라마', '러블리', '학원물', '구원서사']"
THURSDAY,괴물의 바다,삼칠,판타지,9.26826,12세 이용가,"['판타지', '서양', '모험', '크리처', '우정', '판타지', '성장물', '햇살캐', '인외존재', '구원서사']"
THURSDAY,내 여자친구는 이세계 용사?!,사다함,개그,9.53462,전체연령가,"['개그', '판타지개그', '현대', '청춘', '로맨스', '판타지', '차원이동', '학원로맨스', '학원물', '청춘로맨스', '이세계', '걸크러시']"
THURSDAY,어느날 교주가 된다면,아이아리,드라마,9.5638,15세 이용가,"['드라마', '고자극드라마', '시리어스', '스릴러', '성장물', '복수극', '사이비종교', '두뇌싸움']"
